"team","year","total_points","event_count","GDP_per_capita","GDP_total","GDP_growth","Population","Gini","gapminder_countryname","NOC"
"BAN","1996",0,4,"2240.156394796065","279710808755.02","1.03900194628744","124862179","32.2","Bangladesh","Bangladesh"
"BAN","2000",0,6,"2627.490953246616","353513941570.862","1.04339709898613","134544304","33.3","Bangladesh","Bangladesh"
"BAN","2004",0,4,"3050.670624653013","435949544978.219","1.04375172950812","142902856","33.2","Bangladesh","Bangladesh"
"BAN","2008",0,5,"3851.222568463768","575658658921.311","1.05682606810933","149474264","32.6","Bangladesh","Bangladesh"
"BAN","2012",0,7,"4682.006522381541","726039224308.364","1.05204991118614","155070101","32.2","Bangladesh","Bangladesh"
"BAN","2016",0,7,"5719.072432782423","919695087163.681","1.0580321039708","160811932","32.4","Bangladesh","Bangladesh"
"BAN","2020",0,7,"6968.145542252941","1158788834621.07","1.02271101294057","166298024","32.4","Bangladesh","Bangladesh"
"BAN","2024",0,5,"8672.934216211726","1495381629703.54","1.0543718221704","173562364","32.4","Bangladesh",NA
"BAR","1968",0,10,"9410.584181431674","2338906592.45302","1.10454860374204","248540","48.2","Barbados","Barbados"
"BAR","1972",0,13,"11795.56838533785","2944858011.94667","1.00502131968444","249658","48.2","Barbados","Barbados"
"BAR","1976",0,11,"11707.17377442965","2943675188.19014","1.0390080143196","251442","48.2","Barbados","Barbados"
"BAR","1984",0,16,"13491.21289172876","3439179990.35949","1.03238255163831","254920","47.6","Barbados","Barbados"
"BAR","1988",0,21,"15019.21720481445","3871398484.36458","1.0315600255793","257763","47","Barbados","Barbados"
"BAR","1992",0,17,"13380.37752440418","3482470717.1441","0.937539203501267","260267","46.4","Barbados","Barbados"
"BAR","1996",0,21,"14336.31337789525","3760185618.00787","1.03623032227929","262284","45.8","Barbados","Barbados"
"BAR","2000",1,21,"16156.24286175754","4233953473.08076","1.04247131059195","262063","45.2","Barbados","Barbados"
"BAR","2004",0,15,"16294.58814118632","4355510820.96282","1.01173981635249","267298","44.7","Barbados","Barbados"
"BAR","2008",0,10,"18337.63725933059","5000930407.54108","1.00474415239714","272714","44.1","Barbados","Barbados"
"BAR","2012",0,6,"16750.99296901","4638986490.85169","0.994941059407237","276938","43.8","Barbados","Barbados"
"BAR","2016",0,11,"17201.04321249098","4809377280.12605","1.02344369993647","279598","43.8","Barbados","Barbados"
"BAR","2020",0,7,"14955.9787915752","4213069313.62915","0.873004893755174","281698","43.8","Barbados","Barbados"
"BAR","2024",0,4,"18047.69115693592","4932607688.45498","1.0008421918813","282467","43.8","Barbados",NA
"BDI","1996",3,6,"1040.080036497837","6313812102.04033","0.913858442267951","6070506","38.5","Burundi","Burundi"
"BDI","2000",0,5,"987.8507976658955","6391586303.95309","0.971852131968626","6470194","40.6","Burundi","Burundi"
"BDI","2004",0,5,"974.2770494376234","7122604357.13345","1.01281560019852","7310656","35.9","Burundi","Burundi"
"BDI","2008",0,3,"978.1464260784719","8319758433.07081","1.0093545513279","8505637","34.7","Burundi","Burundi"
"BDI","2012",0,6,"985.624648584412","9926253433.38377","1.00824080965967","10071028","37.3","Burundi","Burundi"
"BDI","2016",2,9,"925.1256040378508","10397903895.4288","0.977938661701858","11239451","38.6","Burundi","Burundi"
"BDI","2020",0,7,"860.9988922036471","10863254018.8935","0.974915388315343","12617036","38.6","Burundi","Burundi"
"BDI","2024",0,7,"867.7595782517539","12040233562.847","1","14047786","38.6","Burundi",NA
"BEL","1896",0,1,"6478.742671714595","41765875464.9606","1.01107538406573","6446602","32.9","Belgium","Belgium"
"BEL","1900",80,37,"6807.258422029451","45649767690.2416","1.02041866849691","6706043","33.1","Belgium","Belgium"
"BEL","1908",59,36,"7175.837068724168","52473588422.6911","1.00015954052329","7312539","33.4","Belgium","Belgium"
"BEL","1912",34,24,"7673.761638016721","57422106067.5398","1.01391409558378","7482915","33.6","Belgium","Belgium"
"BEL","1920",356,110,"7228.491161109127","54583153577.0362","1.16901147723065","7551113","34.1","Belgium","Belgium"
"BEL","1924",75,75,"8462.428369608833","65405017215.4469","1.02311098809853","7728871","34.4","Belgium","Belgium"
"BEL","1928",6,74,"9375.862407069653","74435656087.6816","1.04383840958328","7939073","34.1","Belgium","Belgium"
"BEL","1932",0,5,"8405.195660494746","68074755519.3914","0.947850780947463","8099128","33.3","Belgium","Belgium"
"BEL","1936",13,66,"8963.786901448231","73560151914.4377","1.00384566081271","8206370","31.8","Belgium","Belgium"
"BEL","1948",27,74,"9451.705750196625","80793700596.497","1.05067848964566","8548055","26.6","Belgium","Belgium"
"BEL","1952",21,74,"10853.4333917153","94388392118.2935","0.995199759016388","8696639","26.5","Belgium","Belgium"
"BEL","1956",4,38,"12481.81618964891","110865513450.684","1.02724174932769","8882162","28.6","Belgium","Belgium"
